Energy,O_XES
483.4649380060341,9.096909074552141e-05
483.48493800603416,9.118112680557261e-05
483.50493800603414,9.13940334790023e-05
483.5249380060342,9.160781802020423e-05
483.54493800603416,9.182248743259597e-05
483.5649480060342,9.203815644889225e-05
483.58494800603415,9.225461592087133e-05
483.60494800603414,9.247197958077693e-05
483.6249480060342,9.269025333225732e-05
483.64494800603416,9.290944293468504e-05
483.66494800603414,9.3129554103182e-05
483.6849480060341,9.335059255103685e-05
483.70494800603416,9.357256421576892e-05
483.72494800603414,9.379547528259685e-05
483.7449480060341,9.401933233888258e-05
483.76494800603416,9.424414241706416e-05
483.78494800603414,9.446991306768572e-05
483.8049480060341,9.46966523536392e-05
483.82494800603416,9.492436889822832e-05
483.84494800603414,9.515307176556703e-05
483.8649480060341,9.538277046097486e-05
483.88494800603416,9.561347494623803e-05
483.90494800603415,9.584519537325131e-05
483.9249480060341,9.60779421867305e-05
483.94494800603417,9.631172595617279e-05
483.96494800603415,9.654655733226303e-05
483.98494800603413,9.678244696516584e-05
484.00494800603417,9.701940547584633e-05
484.02494800603415,9.72574433498542e-05
484.04494800603413,9.749657094252496e-05
484.0649480060342,9.77367984171496e-05
484.08494800603415,9.797813574470385e-05
484.10495800603417,9.822071419037214e-05
484.12495800603415,9.846430089441772e-05
484.14495800603413,9.870902630052523e-05
484.16495800603417,9.895489977887034e-05
484.18495800603415,9.920193080665212e-05
484.20495800603413,9.945012890500484e-05
484.22495800603417,9.969950384295485e-05
484.24495800603415,9.995006572758713e-05
484.26495800603413,0.00010020182506083077
484.2849580060342,0.00010045479281224346
484.30495800603416,0.00010070898048189466
484.32495800603414,0.00010096440012741283
484.3449580060342,0.00010122106435723895
484.36495800603416,0.00010147898631489608
484.38495800603414,0.00010173817964091016
484.4049580060341,0.00010199865856088076
484.42495800603416,0.00010226043763464169
484.44495800603414,0.00010252353185318051
484.4649580060341,0.00010278795657289533
484.48495800603416,0.00010305372743110722
484.50495800603414,0.00010332086031665408
484.5249580060341,0.00010358937128694512
484.54495800603416,0.00010385927654395234
484.56495800603415,0.00010413059230913054
484.5849580060341,0.00010440333482296065
484.60495800603417,0.0001046775202550468
484.6249680060341,0.00010495330288089506
484.64496800603416,0.00010523042301064074
484.66496800603414,0.00010550903397376264
484.6849680060341,0.00010578915162593963
484.70496800603416,0.00010607079174839545
484.72496800603415,0.00010635397033717253
484.7449680060341,0.00010663870349496557
484.76496800603417,0.00010692500767829563
484.78496800603415,0.00010721289980234378
484.80496800603413,0.00010750239729292894
484.82496800603417,0.00010779351817405025
484.84496800603415,0.00010808628114244536
