Energy,O_XAS
501.62490800603416,0.00016642729649032155
501.64490800603414,0.00016727685077072368
501.6649080060341,0.00016813384392681214
501.68490800603416,0.00016899837013259594
501.70490800603415,0.00016987052510916058
501.7249080060341,0.00017075040603823098
501.74490800603417,0.00017163811235376372
501.76490800603415,0.0001725337445445713
501.78490800603413,0.00017343740495030446
501.80490800603417,0.0001743491978341868
501.82490800603415,0.00017526922911516272
501.84490800603413,0.00017619760656363657
501.86490800603417,0.00017713443978526996
501.88490800603415,0.000178079840404214
501.90490800603413,0.00017903392183882852
501.9249080060342,0.00017999679962000327
501.94490800603415,0.00018096859126292381
501.96491800603417,0.00018194990912480578
501.98491800603415,0.00018293989393887477
502.00491800603413,0.00018393915802535554
502.02491800603417,0.00018494782732925825
502.04491800603415,0.000185966030321166
502.06491800603413,0.00018699389787680238
502.0849180060342,0.00018803156276536192
502.10491800603415,0.00018907916081989243
502.12491800603414,0.00019013682988524658
502.1449180060342,0.00019120471068293833
502.16491800603416,0.00019228294633390056
502.18491800603414,0.00019337168274449236
502.2049180060341,0.00019447106834098293
502.22491800603416,0.00019558125477741453
502.24491800603414,0.00019670239604400566
502.2649180060341,0.000197834649079545
502.28491800603416,0.0001989781747284273
502.30491800603414,0.00020013313565255526
502.3249180060341,0.00020129969851452663
502.34491800603416,0.00020247803286988959
502.36491800603415,0.0002036683116659727
502.3849180060341,0.00020487071110012177
502.40491800603417,0.00020608541109506888
502.42491800603415,0.0002073125948690129
502.44491800603413,0.0002085524494630484
502.46491800603417,0.000209805165587153
502.48491800603415,0.0002110709378465932
502.50492800603416,0.0002123506075153383
502.52492800603414,0.0002136430980201378
502.5449280060341,0.00021494925259030783
502.56492800603417,0.00021626928165836324
502.58492800603415,0.00021760340102621654
502.60492800603413,0.00021895183004670818
502.62492800603417,0.00022031479304313232
502.64492800603415,0.0002216925191468119
502.66492800603413,0.00022308524234266854
502.68492800603417,0.00022449320139053663
502.70492800603415,0.00022591664024898276
502.72492800603413,0.00022735580820829108
502.7449280060342,0.00022881095982315038
502.76492800603415,0.00023028235515379548
502.78492800603414,0.00023177025962969037
502.8049280060342,0.00023327494580740421
502.82492800603416,0.000234796690985649
502.84492800603414,0.00023633577889387345
502.8649280060341,0.00023789250005310728
502.88492800603416,0.00023946715123557386
502.90492800603414,0.00024106003601746955
502.9249280060341,0.0002426714648515116
502.94492800603416,0.0002443017555893645
502.96492800603414,0.00024595123311596696
502.9849280060341,0.00024762023015278403
503.00492800603416,0.00024930908713654263
503.0249380060341,0.00025101901238828707
503.04493800603416,0.0002527486534372427
503.06493800603414,0.00025449922509128675
503.0849380060341,0.0002562711021050234
503.10493800603416,0.0002580646670204434
503.12493800603414,0.0002598803133966002
503.1449380060341,0.00026171844302716197
503.16493800603416,0.00026357946830410747
503.18493800603414,0.0002654638121234808
503.2049380060341,0.00026737190806456953
503.22493800603417,0.0002693042004287735
